latin,tai_viet,tai_viet_sinh,nghia,trang,trang_thai
bók chăn,ꪚꪮꪀ ꪊꪽ,ꪚꪮꪀ ꪊꪽ,hoa na.,45,OK
bók chể,ꪚꪮꪀ ꪹꪊꪸ,ꪚꪮꪀ ꪹꪊꪸ,hoa giấy,45,OK
bók chom,ꪚꪮꪀ ꪊꪮꪣ,ꪚꪮꪀ ꪊꪮꪣ,hoa chanh,45,OK
bók dáu,ꪚꪮꪀ ꪹꪥꪱ,ꪚꪮꪀ ꪹꪥꪱ,hoa trẩu,45,OK
bók dè,ꪚꪮꪀ ꪵꪥ,ꪚꪮꪀ ꪵꪥ,hoa dại.,45,OK
bók đạo,ꪚꪮꪀ ꪓꪱꪫ,ꪚꪮꪀ ꪓꪱꪫ,hoa màu hồng,45,OK
bók đeng,ꪚꪮꪀ ꪵꪒꪉ,ꪚꪮꪀ ꪵꪒꪉ,hoa đỏ.,45,OK
bók đíp,ꪚꪮꪀ ꪒꪲꪚ,ꪚꪮꪀ ꪒꪲꪚ,hoa tươi,45,OK
bók đón,ꪚꪮꪀ ꪒꪮꪙ,ꪚꪮꪀ ꪒꪮꪙ,hoa trắng,45,OK
bók đung,ꪚꪮꪀ ꪒꪉꪴ,ꪚꪮꪀ ꪒꪉꪴ,hoa rừng,45,OK
bók fung,ꪚꪮꪀ ꪞꪉꪴ,ꪚꪮꪀ ꪞꪉꪴ,hoa nở.,45,OK
bók héo,ꪚꪮꪀ ꪵꪬꪫ,ꪚꪮꪀ ꪵꪬꪫ,hoa héo.,45,OK
bók hom,ꪚꪰ ꪒꪱꪣ,ꪚꪰ ꪒꪱꪣ,hoa thonm.,45,OK
bók hon cáy,ꪚꪰ ꪶ ꪨꪸꪀ,ꪚꪰ ꪶ ꪨꪸꪀ,hoa mào gà.,46,OK
bók kêểng,ꪚꪰ ꪣꪾ,ꪚꪰ ꪣꪾ,hoa cam.,46,OK
bók khá,ꪚꪰ ꪉꪳꪣ,ꪚꪰ ꪉꪳꪣ,hoa riềng.,46,OK
bók khay,ꪚꪰ ꪜꪱ,ꪚꪰ ꪜꪱ,hoa nở.,46,OK
bók khim,ꪚꪰ ꪖꪱꪣ,ꪚꪰ ꪖꪱꪣ,hoa cỏ may.,46,OK
bók khắư,ꪚꪰ ꪕꪮꪉ,ꪚꪰ ꪕꪮꪉ,hoa khô.,46,OK
bók khằn,,ꪚꪮꪀ ꪅꪽ,hoa đẹp.,46,DAP_AN_CUT_CAN_SOAT
bók khĩ mu,,ꪚꪮꪀ ꪄꪲ ꪢꪴ,hoa cứt lợn.,46,DAP_AN_CUT_CAN_SOAT
bók lan,ꪚꪮꪀ ꪶꪶꪚ,ꪚꪮꪀ ꪶꪶꪚ,dạy cháu.,46,OK
bók lệp mự,,ꪚꪮꪀ ꪹꪩꪸꪚ ꪣꪳ,hoa phong lan.,46,DAP_AN_CUT_CAN_SOAT
bók long,ꪚꪮꪀ ꪁꪱꪥ,ꪚꪮꪀ ꪁꪱꪥ,hoa vàng.,46,OK
bók lụk,ꪚꪮꪀ ꪀꪾ,ꪚꪮꪀ ꪀꪾ,dạy con.,46,OK
bók lún,ꪚꪮꪀ ꪀꪣ,ꪚꪮꪀ ꪀꪣ,hoa rụng.,46,OK
bók mằn,ꪚꪮꪀ ꪋꪱ,ꪚꪮꪀ ꪋꪱ,hoa mận.,46,OK
bók mự,ꪚꪮꪀ ꪊꪙ,ꪚꪮꪀ ꪊꪙ,hoa tay.,46,OK
bók mứn,ꪚꪮꪀ ꪶꪊꪸ,ꪚꪮꪀ ꪶꪊꪸ,hoa đào.,46,OK
bók nam cựn,,ꪚꪮꪀ ꪘꪱꪣ ꪁꪙꪳ,hoa xương rồng.,46,DAP_AN_CUT_CAN_SOAT
bók ngìu,ꪚꪮꪀ ꪶꪥꪱ,ꪚꪮꪀ ꪶꪥꪱ,hoa gạo.,46,OK
bók ngồm,ꪚꪮꪀ ꪶꪶꪥ,ꪚꪮꪀ ꪶꪶꪥ,hoa ngọc lan.,46,OK
bók ngộn,ꪚꪮꪀ ꪓꪱꪫ,ꪚꪮꪀ ꪓꪱꪫ,hoa ngón.,46,OK
bók phặng,ꪚꪮꪀ ꪶꪶꪒꪉ,ꪚꪮꪀ ꪶꪶꪒꪉ,bảo nghe.,46,OK
bók phớng,ꪚꪮꪀ ꪒ,ꪚꪮꪀ ꪒ,hoa khế.,47,OK
bók phung,ꪚꪮꪀ ꪥꪉꪴ,ꪚꪮꪀ ꪥꪉꪴ,hoa mơ.,47,OK
bók pục,,ꪚꪮꪀ ꪝꪀꪴ,hoa bưởi.,47,DAP_AN_CUT_CAN_SOAT
bók púk,ꪚꪮꪀ ꪜꪀꪴ,ꪚꪮꪀ ꪜꪀꪴ,hoa trồng.,47,OK
bók púng,ꪚꪮꪀ ꪜꪉꪴ,ꪚꪮꪀ ꪜꪉꪴ,hoa nảy.,47,OK
bók sòn,ꪚꪮꪀ ꪏꪮꪙ,ꪚꪮꪀ ꪏꪮꪙ,hoa hồng.,47,OK
bók sòn đón,ꪜꪮꪀ ꪏꪮꪙ ꪒꪮꪙ,ꪜꪮꪀ ꪏꪮꪙ ꪒꪮꪙ,hoa dành dành.,47,OK
bók sòn nọi,ꪚꪮꪀ ꪏꪮꪙ ꪙꪮꪥ,ꪚꪮꪀ ꪏꪮꪙ ꪙꪮꪥ,hoa nhài.,47,OK
bók ta vịn,ꪚꪮꪀ ꪔꪱ ꪆꪲꪙ,ꪚꪮꪀ ꪔꪱ ꪆꪲꪙ,hoa hướng dưong.,47,OK
bók thùng hao,ꪚꪮꪀ ꪗꪉꪴ ꪬꪱꪫ,ꪚꪮꪀ ꪗꪉꪴ ꪬꪱꪫ,hoa cúc.,47,OK
bók tin pết,ꪚꪮꪀ ꪔꪲꪙ ꪶꪜꪸꪫ,ꪚꪮꪀ ꪔꪲꪙ ꪶꪜꪸꪫ,hoa đại.,47,OK
bók toóng,ꪚꪮꪀ ꪚꪮꪉ,ꪚꪮꪀ ꪚꪮꪉ,hoa vông.,47,OK
bók tôốc,ꪚꪮꪀ ꪶꪔꪀ,ꪚꪮꪀ ꪶꪔꪀ,hoa rơi.,47,OK
bók va,ꪚꪮꪀ ꪪꪱ,ꪚꪮꪀ ꪪꪱ,hoa dâm bụt.,47,OK
bók vản,ꪚꪮꪀ ꪪꪱꪙ,ꪚꪮꪀ ꪪꪱꪙ,hoa nghệ.,47,OK
bók ve,ꪚꪮꪀ ꪶꪶꪪ,ꪚꪮꪀ ꪶꪶꪪ,hoa loa kèn.,47,OK
bók xan,ꪚꪮꪀ ꪎꪱꪙ,ꪚꪮꪀ ꪎꪱꪙ,dạy học.,47,OK
bók xéo,ꪚꪮꪀ ꪵꪎꪫ,ꪚꪮꪀ ꪵꪎꪫ,hoa thêu.,47,OK
bók xíp chớ,ꪚꪮꪀ ꪎꪲꪚ ꪨꪰ,ꪚꪮꪀ ꪎꪲꪚ ꪨꪰ,hoa mười giờ.,47,OK
bók xon,ꪚꪮꪀ ꪎꪮꪙ,ꪚꪮꪀ ꪎꪮꪙ,dạy bảo.,47,OK
bók xóp,ꪚꪮꪀ ꪎꪮꪚ,ꪚꪮꪀ ꪎꪮꪚ,hoa tàn.,48,OK
bók xôn,ꪚꪮꪀ ꪶꪎꪙ,ꪚꪮꪀ ꪶꪎꪙ,hoa vườn.,48,OK
bon,ꪚꪮꪙ,ꪚꪮꪙ,bon.,48,OK
bón,ꪚꪮꪙ,ꪚꪮꪙ,nơi.,48,OK
bón dú,ꪚꪮꪙ ꪤꪴ,ꪚꪮꪙ ꪤꪴ,nơi ở.,48,OK
bón đắc,ꪚꪮꪙ ꪒꪀꪰ,ꪚꪮꪙ ꪒꪀꪰ,nơi xa.,48,OK
bón đăư,ꪚꪮꪙ ꪻꪒ,ꪚꪮꪙ ꪻꪒ,nơi nào?,48,OK
bón nằn,ꪚꪮꪙ ꪙꪙ,ꪚꪮꪙ ꪙꪙ,nơi kia.,48,OK
bón nị,ꪚꪮꪙ ꪙꪲ,ꪚꪮꪙ ꪙꪲ,nơi này.,48,OK
bón quảng,ꪚꪮꪙ ꪀꪆꪱꪉ,ꪚꪮꪙ ꪀꪆꪱꪉ,nơi rộng,48,OK
bón tsẳư,ꪚꪮꪙ ꪻꪌ,ꪚꪮꪙ ꪻꪌ,nơi gần.,48,OK
bón ứn,ꪚꪮꪙ ꪮꪙꪳ,ꪚꪮꪙ ꪮꪙꪳ,nơi khác.,48,OK
boong,ꪚꪮꪉ,ꪚꪮꪉ,"muối, ngâm",48,OK
boong fắc,ꪚꪮꪉ ꪞꪀ,ꪚꪮꪉ ꪞꪀ,muối dưa.,48,OK
boong nhăm,ꪚꪮꪉ ꪐꪾꪷ,ꪚꪮꪉ ꪐꪾꪷ,muôi thịt,48,OK
boong nó,ꪚꪮꪉ ꪘꪰ,ꪚꪮꪉ ꪘꪰ,ngâm măng.,48,OK
boong ớt,ꪚꪮꪉ ꪹꪮꪰꪒ,ꪚꪮꪉ ꪹꪮꪰꪒ,ngâm ớt.,49,OK
boong pa,ꪚꪮꪉ ꪜꪱ,ꪚꪮꪉ ꪜꪱ,muối cá.,49,OK
boong xủm,ꪚꪮꪉ ꪎꪙꪴ,ꪚꪮꪉ ꪎꪙꪴ,muối chua.,49,OK
bót,ꪚꪮꪒ,ꪚꪮꪒ,mù.,49,OK
bót ta,ꪚꪮꪒ ꪔꪱ,ꪚꪮꪒ ꪔꪱ,mù mắt.,49,OK
bố,ꪶꪚ,ꪶꪚ,hõm.,49,OK
bố cám,ꪶꪚ ꪁꪱꪣ,ꪶꪚ ꪁꪱꪣ,khe mông,49,OK
bố đin,ꪶꪚ ꪒꪲꪣ,ꪶꪚ ꪒꪲꪣ,hõm đất.,49,OK
bố khám,ꪶꪚ ꪅꪱꪙ,ꪶꪚ ꪅꪱꪙ,hõm đá.,49,OK
bố lợc,ꪶꪚ ꪹꪩꪰꪀ,ꪶꪚ ꪹꪩꪰꪀ,hõm sâu.,49,OK
bố ngá,ꪶꪚ ꪉꪱ,ꪶꪚ ꪉꪱ,hõm quai xanh,49,OK
bố sai,ꪶꪚ ꪄꪱꪥ,ꪶꪚ ꪄꪱꪥ,hõm cát.,49,OK
bôốc,ꪶꪚꪀ,ꪶꪚꪀ,bờ.,49,OK
bôốc đỉn,ꪶꪚꪀ ꪒꪲꪙ,ꪶꪚꪀ ꪒꪲꪙ,bờ đất.,49,OK
bôốc nặm,ꪶꪚꪀ ꪙꪾꪷ,ꪶꪚꪀ ꪙꪾꪷ,bờ suối,49,OK
bôốc sai,ꪶꪚꪀ ꪏꪱꪥ,ꪶꪚꪀ ꪏꪱꪥ,bờ cát.,49,OK
bốk,ꪶꪚꪀ,ꪶꪚꪀ,"ống đựng, vũng nhỏ.",50,OK
bốk nặm,ꪶꪚꪀ ꪙꪾꪷ,ꪶꪚꪀ ꪙꪾꪷ,vũng nước nho.,50,OK
bốm bốm,,ꪶꪚꪣ ꪶꪚꪣ,bùm bùm.,50,DAP_AN_CUT_CAN_SOAT
bốn,ꪶꪚꪙ,ꪶꪚꪙ,chui,50,OK
bốn cai,ꪶꪚꪣ ꪀꪱꪥ,ꪶꪚꪣ ꪀꪱꪥ,chui qua.,50,OK
bốn hô,ꪶꪚꪙ ꪶꪬ,ꪶꪚꪙ ꪶꪬ,chui đầu.,50,OK
bốn hồ,ꪶꪚꪙ ꪶꪭ,ꪶꪚꪙ ꪶꪭ,chui rào.,50,OK
bốn khảu,ꪶꪚꪙ ꪹꪘꪱ,ꪶꪚꪙ ꪹꪘꪱ,chui vào.,50,OK
bốn khửn,ꪶꪚꪙ ꪘꪙꪳ,ꪶꪚꪙ ꪘꪙꪳ,chui lên.,50,OK
bốn lụng,ꪶꪚꪙ ꪩꪉꪴ,ꪶꪚꪙ ꪩꪉꪴ,chui xuống,50,OK
bốn ók,ꪶꪚꪙ ꪮꪮꪀ,ꪶꪚꪙ ꪮꪮꪀ,chui ra.,50,OK
bôông,ꪶꪚꪉ,ꪶꪚꪉ,phi.,50,OK
bôông mà,ꪶꪚꪉ ꪣꪱ,ꪶꪚꪉ ꪣꪱ,phi ngựa,50,OK
bôông mén,ꪶꪚꪉ ꪵꪣꪙ,ꪶꪚꪉ ꪵꪣꪙ,phi nhanh,50,OK
bôông săm,ꪶꪚꪉ ꪏꪾꪷ,ꪶꪚꪉ ꪏꪾꪷ,đi nước kiệu.,50,OK
bôộng,ꪶꪛꪉ,ꪶꪛꪉ,buồng,51,OK
bôộng nọn,ꪶꪛꪉ ꪙꪮꪙ,ꪶꪛꪉ ꪙꪮꪙ,buồng ngu.,51,OK
bốt,ꪶꪚꪒ,ꪶꪚꪒ,râm.,51,OK
bơ,ꪹꪚꪰ,ꪹꪚꪰ,"men, bột, duốc.( 1 ’",51,OK
bơ chinh,ꪹꪚꪰ ꪊꪲꪉ,ꪹꪚꪰ ꪊꪲꪉ,bột dong,51,OK
bơ khảu,ꪹꪚꪰ ꪹꪂꪱ,ꪹꪚꪰ ꪹꪂꪱ,bột gạo.,51,OK
bơ lảu,ꪹꪚꪰ ꪹꪨꪱ,ꪹꪚꪰ ꪹꪨꪱ,men rượu,51,OK
bơ pa,ꪹꪚꪰ ꪜꪱ,ꪹꪚꪰ ꪜꪱ,duổc cá.,51,OK
bơ tủn,ꪹꪚꪰ ꪔꪙꪴ,ꪹꪚꪰ ꪔꪙꪴ,bôt sắn.,51,OK
bơ xum,ꪹꪚꪰ ꪎꪣꪴ,ꪹꪚꪰ ꪎꪣꪴ,duổc lá cơi.,51,OK
bơ,ꪹꪚꪰ,ꪹꪚꪰ,bướm,51,OK
bở bin,ꪹꪚꪰ ꪚꪲꪙ,ꪹꪚꪰ ꪚꪲꪙ,bướm bay.,51,OK
bở chắp,ꪹꪚꪰ ꪊꪾꪷꪚ,ꪹꪚꪰ ꪊꪾꪷꪚ,bướm đậu.,51,OK
bở đăm,ꪹꪚꪰ ꪒꪾꪷ,ꪹꪚꪰ ꪒꪾꪷ,bướm đen.,51,OK
bở đón,ꪹꪚꪰ ꪒꪮꪙ,ꪹꪚꪰ ꪒꪮꪙ,bướm trẳng.,52,OK
bở đung,ꪹꪚꪰ ꪒꪉꪴ,ꪹꪚꪰ ꪒꪉꪴ,bướm rừng,52,OK
bở fl,ꪹꪚꪰ ꪞꪲ,ꪹꪚꪰ ꪞꪲ,bướm ma.,52,OK
bở hái,ꪹꪚꪰ ꪭꪱꪥ,ꪹꪚꪰ ꪭꪱꪥ,bướm lượn,52,OK
bở lại,ꪹꪚꪰ ꪩꪱꪥ,ꪹꪚꪰ ꪩꪱꪥ,bướm hoa.,52,OK
bở lôông,ꪹꪚꪰ ꪶꪨꪉ,ꪹꪚꪰ ꪶꪨꪉ,bướm to.,52,OK
bở long,ꪹꪚꪰ ꪹꪨꪰꪉ,ꪹꪚꪰ ꪹꪨꪰꪉ,bướm vàng,52,OK
bở nọi,ꪹꪚꪰ ꪙꪮꪥ,ꪹꪚꪰ ꪙꪮꪥ,bướm nho.,52,OK
bớ,ꪹꪚꪰ,ꪹꪚꪰ,"không, độc.",52,OK
bớau,,,không lấy.,52,DAP_AN_CUT_CAN_SOAT
bớ cạn,ꪹꪚꪰ ꪁꪱꪙ,ꪹꪚꪰ ꪁꪱꪙ,không dám.,52,OK
bớ cạo,ꪹꪚꪰ ꪁꪱꪫ,ꪹꪚꪰ ꪁꪱꪫ,không nghịch,52,OK
bớ chếp,ꪹꪚꪰ ꪹꪊꪸꪚ,ꪹꪚꪰ ꪹꪊꪸꪚ,không đau.,52,OK
bớ chừ,ꪹꪚꪰ ꪋꪳ,ꪹꪚꪰ ꪋꪳ,không phải,52,OK
bở chứ,ꪹꪚꪰ ꪊꪳ,ꪹꪚꪰ ꪊꪳ,không nhớ.,52,OK
bớ coọng,ꪹꪚꪰ ꪁꪮꪉ,ꪹꪚꪰ ꪁꪮꪉ,không mong,52,OK
bớ củ,ꪹꪚꪰ ꪀꪴ,ꪹꪚꪰ ꪀꪴ,không vay.,52,OK
bớ cừn,ꪹꪚꪰ ꪁꪙꪳ,ꪹꪚꪰ ꪁꪙꪳ,không cân.,52,OK
bớ dạk,ꪹꪚꪰ ꪥꪱꪀ,ꪹꪚꪰ ꪥꪱꪀ,không khó.,52,OK
bớ dản,ꪹꪚꪰ ꪤꪱꪙ,ꪹꪚꪰ ꪤꪱꪙ,không sợ.,53,OK
bó' dằng,ꪹꪚꪰ ꪥꪉ,ꪹꪚꪰ ꪥꪉ,không nghi,53,OK
bớ dók,ꪹꪚꪰ ꪤꪮꪀ,ꪹꪚꪰ ꪤꪮꪀ,không trêu,53,OK
bớ đảy,ꪹꪚꪰ ꪼꪒ,ꪹꪚꪰ ꪼꪒ,không được,53,OK
bớ đét,ꪹꪚꪰ ꪵꪒꪒ,ꪹꪚꪰ ꪵꪒꪒ,không nắng,53,OK
bớ đi,ꪹꪚꪰ ꪒꪲ,ꪹꪚꪰ ꪒꪲ,không tốt.,53,OK
bớ đu,ꪹꪚꪰ ꪒꪴ,ꪹꪚꪰ ꪒꪴ,không trông,53,OK
bớ hài,ꪹꪚꪰ ꪭꪱꪥ,ꪹꪚꪰ ꪭꪱꪥ,không xấu.,53,OK
bớ hảm,ꪹꪚꪰ ꪬꪱꪣ,ꪹꪚꪰ ꪬꪱꪣ,không giữ.,53,OK
bớ hặc,ꪹꪚꪰ ꪭꪀ,ꪹꪚꪰ ꪭꪀ,không yêu.,53,OK
bớ hắng,ꪹꪚꪰ ꪭꪉ,ꪹꪚꪰ ꪭꪉ,không giàu,53,OK
bớ hẳư,ꪹꪚꪰ ꪻꪬ,ꪹꪚꪰ ꪻꪬ,không cho.,53,OK
bớ hệt,ꪹꪚꪰ ꪹꪭꪸꪒ,ꪹꪚꪰ ꪹꪭꪸꪒ,không làm.,53,OK
bớ hin,ꪹꪚꪰ ꪬꪲꪙ,ꪹꪚꪰ ꪬꪲꪙ,không thấy,53,OK
bớ hòn,ꪹꪚꪰ ꪭꪮꪙ,ꪹꪚꪰ ꪭꪮꪙ,không nóng,53,OK
bớ họt,ꪹꪚꪰ ꪭꪮꪒ,ꪹꪚꪰ ꪭꪮꪒ,không tới.,53,OK
bớ hụ,ꪹꪚꪰ ꪭꪴ,ꪹꪚꪰ ꪭꪴ,không biết,53,OK
bớ húng,ꪹꪚꪰ ꪭꪉꪴ,ꪹꪚꪰ ꪭꪉꪴ,không sáng,53,OK
bớ khá,ꪹꪚꪰ ꪄꪱ,ꪹꪚꪰ ꪄꪱ,không gả.,53,OK
bớ khai,ꪹꪚꪰ ꪄꪱꪥ,ꪹꪚꪰ ꪄꪱꪥ,không bán.,53,OK
bớ khan,ꪹꪚꪰ ꪄꪱꪙ,ꪹꪚꪰ ꪄꪱꪙ,không thưa.,53,OK
bớ khan,ꪹꪚꪰ ꪃꪽ,ꪹꪚꪰ ꪄꪱꪙ,không đẹp.,54,OK
bớ khék,ꪹꪚꪰ ꪵꪄꪀ,ꪹꪚꪰ ꪵꪄꪀ,không gợi.,54,OK
bớ khí,ꪹꪚꪰ ꪄꪲ,ꪹꪚꪰ ꪄꪲ,không lo.,54,OK
bớ khò,ꪹꪚꪰ ꪅꪰ,ꪹꪚꪰ ꪅꪰ,không vừa.,54,OK
bớ khỏ,ꪹꪚꪰ ꪂꪰ,ꪹꪚꪰ ꪂꪰ,không nghèo,54,OK
bớ kin,ꪹꪚꪰ ꪀꪲꪙ,ꪹꪚꪰ ꪀꪲꪙ,không ăn.,54,OK
bớ lơ,ꪹꪚꪰ ꪹꪨꪰ,ꪹꪚꪰ ꪹꪨꪰ,không thừa,54,OK
bớ lơ chăư,ꪹꪚꪰ ꪹꪨꪰ ꪻꪊ,ꪹꪚꪰ ꪹꪨꪰ ꪻꪊ,không lo.,54,OK
bớ lọp,ꪹꪚꪰ ꪹꪩꪰꪚ,ꪹꪚꪰ ꪹꪩꪰꪚ,không kịp.,54,OK
bớ lùm,ꪹꪚꪰ ꪩꪣꪴ,ꪹꪚꪰ ꪩꪣꪴ,không ngã.,54,OK
bớ lụm,ꪹꪚꪰ ꪩꪣꪴ,ꪹꪚꪰ ꪩꪣꪴ,không gió.,54,OK
bớ lựm,ꪹꪚꪰ ꪩꪣ,ꪹꪚꪰ ꪩꪣ,không quên,54,OK
bớ lứn,ꪹꪚꪰ ꪨꪙꪳ,ꪹꪚꪰ ꪨꪙꪳ,bất kể.,54,OK
bớ mạ,ꪹꪚꪰ ꪣꪱ,ꪹꪚꪰ ꪣꪱ,không về.,54,OK
bớ mới,ꪹꪚꪰ ꪹꪣꪰꪥ,ꪹꪚꪰ ꪹꪣꪰꪥ,không mỏi.,54,OK
bớ mùm,ꪹꪚꪰ ꪣꪴꪣ,ꪹꪚꪰ ꪣꪴꪣ,không xong,54,OK
bớ nao,ꪹꪚꪰ ꪘꪱꪫ,ꪹꪚꪰ ꪘꪱꪫ,không rét.,54,OK
bớ nắc,ꪹꪚꪰ ꪘꪀ,ꪹꪚꪰ ꪘꪀ,không nặng,54,OK
bớ ngái,ꪹꪚꪰ ꪉꪱꪥ,ꪹꪚꪰ ꪉꪱꪥ,không dễ.,54,OK
bớ ngộn,ꪹꪚꪰ ꪶꪉꪙ,ꪹꪚꪰ ꪶꪉꪙ,độc lá ngón.,54,OK
bớ ngụ,ꪹꪰꪚ ꪉꪴ,ꪹꪰꪚ ꪉꪴ,độc rãn.,55,OK
bớ ním,ꪹꪰꪚ ꪙꪲꪣ,ꪹꪰꪚ ꪙꪲꪣ,không xem.,55,OK
bớ nọn,ꪹꪚꪰ ꪙꪮꪙ,ꪹꪚꪰ ꪙꪮꪙ,không ngú.,55,OK
bớ nói,ꪹꪚꪰ ꪹꪢꪰꪥ,ꪹꪚꪰ ꪹꪢꪰꪥ,không mệt.,55,OK
bớ pay,,ꪹꪚꪰ ꪼꪜ,không đi.,55,DAP_AN_CUT_CAN_SOAT
bớ pák,ꪹꪚꪰ ꪜꪱꪀ,ꪹꪚꪰ ꪜꪱꪀ,không nói.,55,OK
bớ păn,ꪹꪰꪚ ꪜꪽ,ꪹꪰꪚ ꪜꪽ,không chia,55,OK
bớ păng,ꪹꪚꪰ ꪜꪉ,ꪹꪚꪰ ꪜꪉ,không trả.,55,OK
bớ pék,ꪹꪚꪰ ꪵꪜꪀ,ꪹꪚꪰ ꪵꪜꪀ,không giống,55,OK
bớ pẹng,ꪹꪰꪚ ꪵꪝꪉ,ꪹꪰꪚ ꪵꪝꪉ,không quỷ.,55,OK
bớ pêệng,ꪹꪚꪰ ꪹꪝꪸꪉ,ꪹꪚꪰ ꪹꪝꪸꪉ,không băng,55,OK
bớ phặng,ꪹꪚꪰ ꪏꪉ,ꪹꪚꪰ ꪏꪉ,không nghe,55,OK
bớ phun,ꪹꪚꪰ ꪥꪙꪳ,ꪹꪚꪰ ꪥꪙꪳ,không mưa.,55,OK
bớ pọ,ꪹꪚꪰ ꪝꪰ,ꪹꪚꪰ ꪝꪰ,không đù.,55,OK
bớ pỏm,ꪹꪚꪰ ꪜꪮꪣ,ꪹꪚꪰ ꪜꪮꪣ,không tròn,55,OK
bớ sừ,ꪹꪚꪰ ꪏꪳ,ꪹꪚꪰ ꪏꪳ,không thẳng,55,OK
bớ sự,ꪹꪚꪰ ꪏꪳ,ꪹꪚꪰ ꪏꪳ,không mua.,55,OK
bớ tai,ꪹꪚꪰ ꪔꪱꪥ,ꪹꪚꪰ ꪔꪱꪥ,độc chết,55,OK
bớ táu,ꪹꪚꪰ ꪹꪔꪱ,ꪹꪚꪰ ꪹꪔꪱ,không đùa.,55,OK
bớ tẹn,ꪹꪚꪰ ꪵꪙꪙ,ꪹꪚꪰ ꪵꪙꪙ,không thêm,55,OK
bớ thả,ꪹꪚꪰ ꪖꪱ,ꪹꪚꪰ ꪖꪱ,không đợi.,55,OK
bớ tsó,ꪹꪚꪰ ꪌꪰ,ꪹꪚꪰ ꪌꪰ,không sai.,56,OK
bó' tò,ꪹꪚꪰ ꪙꪰ,ꪹꪚꪰ ꪙꪰ,không bằng,56,OK
bớ vạu,ꪹꪚꪰ ꪹꪫꪱ,ꪹꪚꪰ ꪹꪫꪱ,không nói.,56,OK
bớ xắn,ꪹꪚꪰ ꪎꪽ,ꪹꪚꪰ ꪎꪽ,không vội.,56,OK
bớ xê,ꪹꪚꪰ ꪹꪎꪸ,ꪹꪚꪰ ꪹꪎꪸ,khônu mất.,56,OK
bớ xếk,ꪹꪚꪰ ꪹꪎꪸꪀ,ꪹꪚꪰ ꪹꪎꪸꪀ,không tiếc,56,OK
bớ xín,ꪹꪚꪰ ꪎꪲꪙ,ꪹꪚꪰ ꪎꪲꪙ,không tin.,56,OK
bớm,ꪹꪚꪰꪣ,ꪹꪚꪰꪣ,bềnh.,56,OK
bóm nặm,ꪹꪚꪰꪣ ꪙꪾ,ꪹꪚꪰꪣ ꪙꪾ,bênh nước.,56,OK
bớm vạp,ꪹꪚꪰꪣ ꪫꪱꪚ,ꪹꪚꪰꪣ ꪫꪱꪚ,bềnh lầy.,56,OK
bơn,ꪹꪚꪰꪙ,ꪹꪚꪰꪙ,"trăng, tháng",56,OK
bơn bín,ꪹꪚꪰꪙ ꪚꪲꪙ,ꪹꪚꪰꪙ ꪚꪲꪙ,trăng khuyết.,56,OK
bơn cảu,ꪹꪚꪰꪙ ꪹꪀꪱ,ꪹꪚꪰꪙ ꪹꪀꪱ,tháng Chín.,56,OK
bơn cặm,ꪹꪚꪰꪙ ꪁꪾ,ꪹꪚꪰꪙ ꪁꪾ,tháng kiêng,56,OK
bơn cặư,ꪹꪚꪰꪙ ꪻꪁ,ꪹꪚꪰꪙ ꪻꪁ,tháng Hợi.,56,OK
bơn cớn,ꪹꪚꪰꪙ ꪹꪀꪰꪙ,ꪹꪚꪰꪙ ꪹꪀꪰꪙ,tháng trước,56,OK
bơn chêêng,ꪹꪚꪰꪙ ꪹꪊꪸꪉ,ꪹꪚꪰꪙ ꪹꪊꪸꪉ,tháng Giêng.,56,OK
bơn chết,ꪹꪚꪰꪙ ꪹꪊꪸꪒ,ꪹꪚꪰꪙ ꪹꪊꪸꪒ,tháng Bảy.,57,OK
bơn đăp,ꪹꪚꪰꪙ ꪒꪚꪾ,ꪹꪚꪰꪙ ꪒꪚꪾ,trăng lặn hêt tháng,57,OK
bơn đắp đôi,ꪹꪚꪰꪙ ꪒꪚꪾ ꪶꪒꪥ,ꪹꪚꪰꪙ ꪒꪚꪾ ꪶꪒꪥ,tháng đủ.,57,OK
bơn đăp kị,ꪹꪚꪰꪙ ꪒꪚꪾ ꪁꪲ,ꪹꪚꪰꪙ ꪒꪚꪾ ꪁꪲ,tháng thiêu,57,OK
bơn đi,ꪹꪚꪰꪙ ꪒꪲ,ꪹꪚꪰꪙ ꪒꪲ,tháng tốt.,57,OK
bơn đôi,ꪹꪚꪰꪙ ꪶꪒꪥ,ꪹꪚꪰꪙ ꪶꪒꪥ,tháng chẵn,57,OK
bơn et,ꪹꪚꪰꪙ ꪹꪮꪸꪒ,ꪹꪚꪰꪙ ꪹꪮꪸꪒ,tháng Mười một.,57,OK
bơn hả,ꪹꪚꪰꪙ ꪬꪱ,ꪹꪚꪰꪙ ꪬꪱ,tháng Năm.,57,OK
bơn hai,ꪹꪚꪰꪙ ꪬꪱꪥ,ꪹꪚꪰꪙ ꪬꪱꪥ,trăng tỏ.,57,OK
bơn hàu,ꪹꪚꪰꪙ ꪹꪭꪱ,ꪹꪚꪰꪙ ꪹꪭꪱ,tháng Dậu.,57,OK
bon hôốc,ꪹꪚꪰꪙ ꪶꪬꪀ,ꪹꪚꪰꪙ ꪶꪬꪀ,tháng Sáu.,57,OK
